YORF	alpha_factor_release_sample013	alpha_factor_release_sample014	alpha_factor_release_sample015	alpha_factor_release_sample016	alpha_factor_release_sample017	alpha_factor_release_sample018	alpha_factor_release_sample019	alpha_factor_release_sample020	alpha_factor_release_sample021	alpha_factor_release_sample022	alpha_factor_release_sample023	alpha_factor_release_sample024	alpha_factor_release_sample025	alpha_factor_release_sample026	alpha_factor_release_sample027	alpha_factor_release_sample028	alpha_factor_release_sample029	alpha_factor_release_sample030
YBR226C	0.29	-0.15	-0.09	-0.67	-0.28	-0.59	-0.32	0.33	-0.2	-0.3	-0.09	-0.19	-0.29	-0.25	-0.18	-0.37	-0.22	-0.25
YBR227C	-0.02	-0.08	-0.05	-0.14	-0.25	-0.33	-0.33	-0.23	-0.03	0.14	-0.15	0.06	-0.32	-0.31	-0.35	0.14	-0.06	0.29
YBR228W	0.04	-0.31	0.19	-0.16	-0.17	-0.51	-0.1	-0.13	0.24	-0.28	-0.11	-1.64	-0.13	-0.16	0.12	-0.18	-0.01	-0.07
YBR229C	-0.13	-0.59	0.1	-0.28	-0.06	-0.41	-0.26	-0.42	-0.28	0.14	-0.06	-0.58	-0.28	-0.37	-0.25	1.58	-0.2	1.3
YBR230C	0.07	0.86	1.15	-0.17	0.09	-0.4	-0.21	-0.21	-0.16	-0.08	-0.05	-0.02	-0.06	-0.31	-0.2	-0.27	0.1	-0.27
YBR231C	-0.65	-0.08	0.07	-0.16	-0.3	-0.41	-0.55	-0.1	-0.25	0.46	0.11	-0.06	-0.21	-0.21	-0.06	0.65	-0.01	0.17
YBR232C	-0.2	-0.41	0.4	0.44	-0.15	0.33	-0.32	-0.09	-0.23	-0.1	0.21	0.47	0.09	0.39	-0.62	0.31	-0.02	0.19
YBR233W	-1.33	-0.63	-1.32	-0.09	-0.18	-0.4	-0.48	-0.32	-0.4	0.17	-0.13	0.21	-0.03	-0.06	-0.48	0.04	-0.09	-0.12
YBR234C	0.31	0.17	0.2	0.27	0.15	0.19	-0.06	-0.04	0.06	-0.17	0.16	-0.2	0.08	0.1	-0.16	-1.39	-0.13	0.21
YBR235W	-0.35	-0.19	-0.77	-0.1	-0.16	-0.6	-0.31	-0.02	-0.01	0.47	0.24	0.11	-0.01	0.24	-0.06	0.73	-0.12	0.2
YBR236C	0.13	0.05	-0.04	-0.05	-0.1	0.19	0.06	0.39	0.3	0.06	0.24	-0.95	0.06	0.26	0.02	0.56	0.09	0.39
YBR237W	-0.39	-0.04	-1.14	-1.9	-0.58	-0.57	-0.55	0	-0.18	0.23	-0.97	-0.64	-0.21	0.07	-0.96	0.4	-1.08	-0.34
YBR238C	1.21	-0.03	-0.52	-0.34	-0.12	-0.09	-0.32	0.12	0	-0.19	0.27	-0.81	0.18	0.28	-0.26	1.49	-0.33	0.46
YAL034C	-0.21	0.5	-0.95	-1.18	-0.26	-0.14	-0.04	0.27	0.12	0.18	-0.2	0.13	0.08	-0.13	0.73	-0.5	-0.12	-0.23
YBL083C	-0.36	-0.68	-0.11	-0.2	0.22	0.27	0.63	0.33	0.39	0.15	-0.03	0.09	0.11	0.35	0.16	0.13	0.47	0.96
YBL082C	-0.31	-0.2	-0.2	-0.2	0.28	0.65	0.64	0.18	0.39	-0.12	0.07	-0.22	-0.02	0.48	0.58	0	0.47	0
YBR239C	-0.95	0.25	-0.45	-0.23	-0.15	0	-1	-0.18	-0.08	0.3	-0.75	-0.07	-0.08	-0.02	-0.1	0.13	-0.9	0.01
YBR240C	0.2	0.52	-0.36	-0.96	-0.3	-0.14	-0.59	0.06	-0.15	-0.69	-0.29	-0.37	-0.2	0.34	-0.43	0.07	-0.44	-0.12
YBR241C	-0.06	0.57	0.61	0.13	0	-0.19	-0.28	-0.55	-0.55	-0.12	-1.96	-0.2	-0.31	-0.04	-0.83	0.3	-0.51	-0.45
YBR242W	-0.22	-0.14	-0.71	-0.32	-0.09	0.22	0.19	0.54	0.17	-0.45	-0.23	-1.09	0.11	0.18	-0.01	0.73	0.2	0.32
YBR243C	-1.25	-1.52	-0.66	-0.41	0.22	-0.05	0.47	-0.28	0.07	0.12	-0.38	-0.1	0.05	-0.19	0.03	0	-0.21	-0.48
YBR244W	-0.1	0.13	-0.17	-1.33	-0.28	-0.33	-0.12	0.32	0.24	0.48	0.65	0.47	0.53	0.85	0.71	1.04	0.28	0.1
YBR245C	-0.13	-0.13	0.02	0.09	0.17	-0.06	-0.02	-0.82	-0.02	0.44	0.11	0.1	0.07	-0.01	0	-0.27	-0.07	0.27
YBR246W	0.63	0.1	0.9	0.22	0.73	0.44	0.23	0.82	0.13	0.32	0.17	1.06	0.33	0.2	0.26	0	0.49	0.28
YAL033W	-0.2	0.49	-0.38	-0.43	-0.58	-0.01	-0.23	0.2	-0.14	0.27	-0.45	0.14	-0.16	0.13	-0.39	0.1	0.18	-0.42
YBR247C	0.05	-1.6	-1.04	-0.55	-0.18	-0.38	0.11	-0.14	0.21	0.3	-0.11	0.02	-0.01	0.01	-0.37	0	-0.14	0.18
YBR248C	0.08	0.46	0.26	-0.77	-0.04	-0.37	0.16	0.05	0.2	0.01	0.08	0.15	0.04	-0.04	-0.01	0.04	0.1	0.15
YBR249C	0.56	0.27	0.53	0.42	0.41	0.18	0.34	0.07	0.45	0.58	0.52	0.42	0.36	0.32	0.29	0.34	0.27	0.41
YBL081W	0.01	-0.46	-0.13	-0.29	0.09	-0.03	0.05	0.08	-0.19	-0.03	-0.3	0	0.06	0.48	-0.16	0.16	0.28	1.09
YBR250W	-0.15	-0.52	-0.26	-0.78	-0.24	-0.51	-0.23	-0.19	-0.27	-0.46	-0.41	-0.3	-0.06	-0.43	-0.17	-0.27	-0.13	-0.25
YBR251W	-0.31	-0.33	-0.12	-0.26	-0.21	-0.4	-0.04	-0.36	-0.16	-0.63	-0.19	-0.21	-0.17	-0.03	-0.34	-0.11	-0.19	0
YBR252W	-0.34	-0.7	-0.23	0	0.17	0.13	0.23	0.19	-0.05	-0.41	-0.11	-0.19	0.1	0.25	0.11	-0.3	0.11	-0.33
YBR253W	-0.08	-0.11	-0.18	-0.21	-0.27	-0.27	-0.14	-0.15	-0.11	-0.08	-0.26	-0.15	-0.25	-0.21	-0.11	-0.29	-0.1	-0.04
YBR254C	-0.02	-0.3	-0.15	-0.31	-0.02	0.05	0.07	0.39	-0.01	-0.26	-0.3	-0.18	-0.06	0.13	0.03	-0.04	0.25	0.6
YBR255W	-0.03	2.56	0.01	0.2	-0.55	0.01	-0.26	-0.03	0.14	0.06	0.45	-0.25	0	-0.03	0.3	0.72	0.18	0.26
YAL032C	-0.22	0.02	-0.05	-0.21	-0.21	-0.09	-0.3	0.16	-0.38	0.72	-0.38	0.84	-0.09	-0.2	0.07	-0.68	0.11	0.2
YBR256C	-0.04	0.26	0.39	0.12	-0.06	0	-0.1	0.24	0.28	-0.08	0.55	-0.01	0.07	-0.12	0.39	0.22	0.14	0.07
YBR257W	-0.1	-0.33	-0.81	-0.5	-0.41	-0.37	-0.38	-0.17	0.03	0.36	-0.22	-0.46	-0.16	-0.38	-0.36	0.03	-0.31	-0.07
YBR258C	0.07	0.09	-0.17	0.05	-0.33	0.01	-0.2	0.29	0.14	-0.27	-0.07	0.07	-0.11	0.02	-0.32	0.58	0	0
YBR259W	-0.32	-0.45	-0.01	0.06	-0.33	-0.05	-0.5	-0.02	0.02	0.38	0.2	0.15	-0.08	0.12	-0.17	0.36	-0.28	0.09
YBL080C	-0.07	-0.29	0.02	-0.46	-0.21	0.55	0.22	0.23	-0.34	-0.05	-0.06	0	0.1	0.16	0.54	-0.15	0.38	0.09
YBR260C	0.01	0.27	-0.1	0.01	-0.12	-0.03	-0.43	0.1	0.17	-0.11	0.09	0.19	0	0.21	0.03	0.65	0	0.23
YBR261C	-0.04	-0.12	-0.12	0	-0.32	0.11	-0.43	-0.09	0	0.38	0	0.04	-0.07	0.1	0	0.39	0.04	0.2
YBR262C	0.1	0.01	-0.2	-0.15	-0.28	-0.02	-0.23	-0.09	-0.04	-0.39	0.07	-0.01	-0.03	0.03	-0.39	0.26	-0.31	-0.27
YBR263W	0.05	0.33	0.2	0.18	-0.15	0.29	-0.14	0.34	0.37	0.63	0.52	0.32	0.09	0.37	0.27	0.59	0.45	0.57
YBR264C	-0.04	0.54	-0.25	0.17	-0.5	0.09	-0.48	0.33	-0.04	-0.18	-0.09	0.1	-0.03	0.21	-0.15	0.55	0.04	0.05
YAL031C	-0.28	0.38	-0.37	-0.35	-0.45	-0.26	-0.43	0.14	-0.21	0.55	-0.33	0.21	-0.1	0.03	-0.14	0.68	0.06	0.2
YBR265W	-0.46	-0.27	-0.65	-0.64	-0.56	-0.22	-0.58	-0.41	-0.01	0.15	-0.3	-0.34	0.01	-0.11	-0.13	0.15	-0.15	-0.06
YBR266C	-0.03	-0.66	-0.74	0.01	-0.34	0.17	-0.21	0.69	0.17	-0.12	-0.23	0.17	0.1	0.42	-0.68	0.63	0.19	0.45
YBR267W	0.25	-1.46	-0.63	-0.39	-0.14	-0.34	0.18	-0.01	0.29	0.33	-0.18	0.05	0.12	-0.01	-0.38	-0.05	-0.1	0.15
YBR268W	0.2	-0.17	0.12	0.2	0.1	0.07	0.25	0.25	0.28	0.04	0.04	0.12	0.22	0.03	0.06	-0.09	0.09	-0.08
YBR269C	0.4	0.67	0.66	0.28	0.26	-0.05	0.25	-0.17	0.22	0.43	0.1	0.04	0.04	-0.02	-0.19	-0.06	-0.13	0.09
YBR270C	-0.07	-0.04	-0.09	-0.41	-0.23	-0.22	-0.06	-0.01	-0.25	-0.28	-0.48	-0.15	0.08	-0.32	-0.58	-0.23	-0.41	-0.29
YBR271W	0.1	-0.35	-0.53	-0.2	0.11	-0.33	0.09	-0.21	0.19	-0.01	-0.06	0.1	0.28	0.14	-0.19	-0.21	0	0.1
YBR272C	0.46	-0.01	0.09	-0.22	-0.02	-0.16	0.11	-0.15	0.12	0.01	0	0.2	0.07	0.1	-0.14	0.05	-0.19	-0.13
YBR273C	0.09	0.1	-0.01	-0.38	-0.17	-0.63	-0.28	-0.47	-0.12	0.13	-0.26	0.03	-0.03	-0.06	-0.54	-0.26	-0.41	0.01
YBR274W	0.19	0.03	0.07	-0.27	0	-0.34	0.2	0.01	0.14	-0.16	0.17	-0.1	0.18	-0.09	-0.01	-0.06	-0.43	-0.1
YAL030W	0.09	0.16	0.21	0.2	0.29	0.32	-0.19	0.52	-0.02	-0.04	0.11	0.52	0	0.24	-0.13	0.6	0.35	0.35
YBR275C	0.32	0.07	0.27	-0.39	0.14	-0.21	-0.01	-0.33	-0.18	0.25	-0.05	0.01	0.07	0.34	-0.11	-0.01	0.06	0.06
YBL079W	-0.2	-0.1	-0.29	-0.33	0.01	-0.6	-0.06	-0.3	0.1	-0.18	0.01	-0.06	-0.22	0.14	0.33	0.17	0.18	0.61
YBR276C	0.11	-0.11	0.42	0.16	0.22	0.09	0.32	-0.09	0.22	0.02	0.22	0.5	0.52	0.57	0.28	0.24	-0.1	0.04
YBR277C	0.23	-0.24	0.25	0.09	0.29	0.04	0.44	0.03	0.19	0.1	-0.14	0.23	0.14	0.3	-0.14	0.17	-0.08	0.16
YBR278W	0.08	-0.13	0.34	0.33	0.32	0.11	0.17	-0.05	0.02	-0.13	0.11	0.35	0.33	0.45	0.04	0.06	-0.15	-0.01
YBR279W	-0.28	0.25	-0.26	-0.34	-0.58	0.04	-0.49	-0.04	0.07	0.53	0	0.06	-0.23	0.1	-0.35	0.34	0.06	0.44
YBR280C	-0.06	0.78	0.43	0.45	-0.21	-0.05	-0.78	0.04	0.21	-0.2	0.46	0.1	0.08	0.19	0.03	0.49	-0.1	0.01
YBR281C	-0.04	0.36	0.55	0.54	0.26	0.66	0.18	0.53	0.31	0.57	0.37	0.35	0.06	0.28	0.08	0.58	0	0.39
YBR282W	-0.27	0.41	0.21	0.4	-0.19	0.36	-0.24	0.31	0.36	-0.01	0.15	0.22	0.08	0.35	-0.38	0.51	0.2	0.34
YBR283C	-0.03	0.05	-0.11	-0.14	-0.18	-0.05	-0.29	-0.04	0.16	0.3	0.36	-0.09	0.04	0.08	0.06	0.13	-0.04	0.05
YAL029C	0.11	0.03	-0.12	0.07	0.07	0.02	-0.15	0.24	0.2	0.7	-0.42	0.45	0.01	0.42	-0.04	0.82	0.36	0.29
YBR284W	0.1	0.19	0.22	0.35	-0.08	-0.02	-0.69	0.19	-0.55	-0.3	0.4	0.2	0.07	0.15	0	0.52	-0.19	0.11
YBR285W	0.04	0.34	0.03	0.13	-0.79	0.4	-0.52	0.39	-0.13	0.27	-1.65	-0.02	-0.06	0.23	-0.44	0.41	0.12	0.3
YBR286W	0.62	0.49	0.64	0.55	0.5	0.42	0.34	0.47	0.51	0.21	0.5	0.28	0.35	0.54	0.34	0.85	0.24	0.55
YBR287W	0.85	1.17	0.67	0.28	-0.19	0.15	-0.23	-0.03	0.09	0.56	0.51	0.14	-0.05	-0.06	-0.16	0.2	-0.16	0.2
YBR288C	0.03	0.22	0.03	0.1	-0.1	0.05	-0.32	0.15	0.31	-0.33	0.24	0.2	0.06	0.11	-0.16	0.48	0.04	0.28
YBR289W	-0.23	0	-0.51	0.14	-0.46	0.64	-0.29	0.15	-0.05	0.62	0.22	0.22	-0.17	0.41	0.16	0.49	0	0.56
YBR290W	0.31	0.28	0.06	0	-0.4	-0.03	-0.19	0.23	0.13	-0.17	0.16	0.1	0	0.12	-0.05	0.42	-0.06	0.23
YBR291C	0	-0.15	-0.39	-1.16	-0.3	-0.6	-0.15	-0.64	0.07	-0.2	0.1	-0.21	0.18	-0.02	-0.05	-0.06	-0.09	0.12
YBR292C	0.32	0.39	0.14	0.21	0.19	0.36	0.18	0.28	0.03	-0.06	-0.24	-0.15	-0.05	0.07	-0.2	0.04	0.13	-0.2
YBR293W	0.24	0.19	-0.13	-0.2	0.02	0.15	0.34	0.07	0.06	0.08	-0.23	-0.1	0.06	0.11	-0.2	-0.21	0.07	0.17
YAL028W	0.01	0.09	0.35	0.7	0.55	0.84	-0.05	0.41	0.03	-0.56	0.58	0.52	-0.04	0.47	0.38	0.95	0.18	0.16
YBR294W	0.38	0.35	0.08	-0.11	-0.06	-0.04	0.22	0.2	0.2	0.11	0.01	-0.02	-0.06	0.47	-0.07	0.1	0.18	0.04
YBR295W	0.82	0.24	0.24	0.12	0.34	0.44	0.76	0.42	0.61	0.43	0.17	0.18	0.22	0.44	0.32	0.39	0.02	0.31
YBR296C	1.77	0	0	1.63	1.19	1.38	0	0	0	0	0	0	0	1.45	0.84	0.35	0.53	0.49
YBR297W	0.68	0.79	0.72	0.42	0.25	-0.1	0.12	-0.24	0.24	0.36	0.22	0.1	0.18	0.33	-0.25	-0.13	-0.14	0.18
YBR298C	0.4	0.19	0.74	0.03	0.02	-0.36	0.08	0.06	0.14	0.39	0.15	0.2	0.1	0.1	-0.12	-0.14	0.02	-0.3
YBL078C	0.53	1.03	0.77	0.46	-0.12	-0.19	-0.06	1.57	-0.41	-0.13	-0.3	-0.8	-0.52	-1.14	-0.08	-0.57	-0.11	0
YBR299W	0.21	0.09	0.47	-0.05	-0.02	-0.12	0.03	-0.3	-0.06	0.18	-0.14	0.07	0.3	0.21	-0.34	-0.16	0	0
YBR300C	0.02	-0.31	-0.15	-0.22	0.03	-0.27	0.01	-0.15	-0.14	-0.27	-0.05	-0.17	0.02	0	-0.14	-0.11	-0.02	-0.66
YBL077W	0.5	0	0.39	0.05	0.26	-0.03	0.15	-0.02	0.15	0.13	0.1	0.15	0.06	0.35	0.1	0.29	0.42	1.22
YBR301W	0.17	0.01	0.25	-0.21	0.02	-0.4	-0.05	-0.46	-0.04	-0.21	-0.1	-0.05	0.07	-0.01	-0.34	-0.31	-0.26	-0.29
YAL027W	0.02	-0.23	0.04	-0.44	-0.36	-0.12	-0.13	0	-1	-0.32	0.17	0.35	-0.06	-0.25	-0.4	0.54	-0.11	-0.05
YBR302C	0.48	0.3	0.85	0.55	0.8	0.25	0.54	-0.1	0.3	0.16	0.54	0.56	0.68	0	0.59	0.35	0.28	0.13
YBL076C	0.33	-0.29	-0.01	0.17	0.07	0.14	-0.11	-0.14	-0.15	-0.07	0.27	0.13	-0.08	0.13	0.53	0.28	0.22	-0.24
YBL108W	0.18	-0.36	0.35	-0.42	0.48	-0.2	-0.11	0.06	-0.26	-0.2	-0.64	-0.15	-0.09	0.03	-0.22	0.16	-0.04	0.01
YBL075C	-0.06	-0.3	0.16	0.22	0.28	0.12	0.33	-0.09	0.17	0.1	-0.15	-0.06	-0.28	-0.08	-0.12	-0.13	-0.24	0.96
YBL074C	-0.24	-0.47	-0.04	-0.27	-0.62	-0.26	-0.38	0.88	-0.42	-0.14	-0.07	0.36	-0.37	-0.13	-0.27	-0.16	-0.11	0.25
YBL073W	-0.39	-0.4	-0.46	-0.61	-0.72	-0.41	-0.32	0.17	-0.21	-0.03	-0.18	0.01	-0.23	0.07	0	0.22	-0.29	1.32
YBL072C	0.29	-0.08	-0.04	0.08	-0.06	-0.06	-0.12	0.32	0.51	0.14	0.72	0.3	0.25	0.52	0.73	1.11	0.17	0.51
YBL071C	-0.56	-1.02	-1.1	-0.62	-0.12	-0.25	0.21	0.28	0.18	0.25	-0.64	-0.19	0.02	0.08	-0.97	0.17	0	0.29
YBL070C	-0.28	0.05	-1.15	-0.77	-0.5	-0.32	0.4	0.2	0.09	-0.35	0.7	-0.1	-0.08	-0.21	0.88	0.92	-0.12	0.46
YBL069W	-0.28	-0.29	-1.07	-0.58	-0.33	0.22	0.4	0.61	-0.06	1.45	-0.49	-0.38	-0.22	0.26	-0.34	0.45	0.11	0.48
YAL026C	0.02	0.2	-0.08	-0.19	0.01	-0.23	-0.1	0.18	-0.05	0.57	-0.39	0.44	0.11	0.18	-0.07	0.73	-0.03	0.2
YBL068W	0.13	-0.3	-0.71	-0.06	-0.37	-0.29	-0.06	0.2	0.01	-0.12	0.67	0.01	-0.08	0.1	0.41	0.25	-0.07	0.15
YBL067C	0.02	0.99	0.08	-0.01	-0.28	-0.26	-0.52	0.44	-0.85	0.04	1.13	-0.18	-0.38	-0.25	0.15	0.22	0.2	0.5
YBL066C	-0.01	0.11	-0.12	0.18	-0.1	0.18	-0.08	0.2	-0.15	-0.07	0.31	0.07	-0.07	0.24	0.33	-0.29	-0.07	0.23
YBL107C	0.39	0.35	0.6	0.56	0.42	0.33	0.58	0.48	0.33	0.23	0.34	-0.16	0.35	0.6	0.1	-0.39	0.22	0
YBL065W	0	0.74	-0.89	-0.75	-0.48	-0.85	-0.44	-0.29	0.33	0.13	0.14	-0.38	-0.28	-0.26	1.69	0.5	-1.16	0.01
YCL012W	-0.89	-0.47	-0.8	-0.38	-0.22	0.46	0.12	0.91	0.65	0.04	0.06	-0.05	-0.38	0.51	0.27	1.06	0.5	0.64
YCL011C	-0.27	0.55	-0.2	-0.24	-0.51	-0.17	-0.36	-0.21	0.06	0.56	0.46	0.17	0	0.08	-0.05	0.45	-0.08	0.31
YCL010C	-0.31	0.04	0.16	0.11	-0.1	0.13	-0.49	0.25	0.18	-0.29	0.3	0.23	-0.03	0.2	-0.16	0.38	0.06	-0.07
YCL009C	0.11	0.2	0.3	0.38	0.12	0.43	0.1	0.31	0.17	0.53	0.47	0.26	0.06	0.34	0.2	0.5	0.26	0.41
YJL170C	0	0	1.97	-0.72	-0.41	-0.71	-0.41	-0.91	-0.4	-0.3	-0.46	-0.29	-0.5	-0.76	-0.65	-0.55	-0.22	-0.24
YCL008C	0.05	0.36	0.03	0.19	-0.05	0	-0.4	0.12	0.37	-0.16	0.46	0.31	-0.09	0.27	0.17	0.71	-0.01	-0.04
YCL007C	-0.3	0.27	-0.17	0.03	-0.36	0.27	-0.34	0.34	-0.08	0.27	-0.17	-0.12	-0.1	0.09	-0.14	0.28	0.2	0.16
YCL006C	-0.05	0.7	0.03	0.63	0.2	0.81	-0.17	0.76	0.41	0.07	0.52	0.46	-0.05	0.59	0.11	0.95	0.38	0.51
YCL005W	0.36	0.43	-0.15	-0.21	-0.17	0.38	0.16	0.06	0.11	0.36	0.15	-0.01	0.1	0.21	0.12	0.45	0.1	0.23
YCL004W	0.1	0.15	0.14	-1.06	0.1	0.36	-0.25	0.4	-0.01	-0.2	0.19	0.17	-0.04	0.45	-0.32	0.38	0.05	0.12
YCL002C	0.08	0.01	0.07	0.12	-0.01	0.16	-0.43	0.13	-0.12	-0.43	0.33	0.12	0.16	0.31	-0.32	0.34	-0.11	0.08
YCL001W	-0.5	0.26	-0.43	-0.48	-0.36	-0.19	-0.57	-1.85	-0.5	0.19	0	-0.38	0.96	-0.25	0.11	0.56	-0.29	-0.08
YCL068C	0.05	-0.56	0	-0.49	-0.14	-0.45	-0.04	-0.15	-0.01	0.02	-0.33	-0.59	0	0.07	-0.32	-0.18	-0.03	-0.1
YML033W	-0.57	-0.59	-0.94	-1.12	-0.07	-0.04	0.71	0.91	0.87	0.34	0.16	-0.53	-0.47	-0.33	0.36	0.42	0.86	0.38
YCR001W	0.14	0.04	0	-0.28	-0.28	-0.08	0.14	-0.02	0.04	0.04	0.64	-0.36	-0.07	-0.06	-0.03	-0.19	-0.06	-0.16
YJL169W	-0.2	-0.06	-0.11	-0.02	-0.33	0.23	-0.17	0.35	0.12	-0.25	0.18	0.04	0.09	0.22	0.04	0.34	-0.05	-0.02
YCR002C	0.25	0.07	0.35	0	0.07	-0.2	0.48	0.65	0.49	0.13	-0.11	-0.04	0.07	0.24	0.52	0.22	0.56	-0.08
YCR003W	0.17	0.09	0	0.14	-0.25	0.42	0.17	0.27	0	-0.01	-0.31	-0.11	0.09	-0.04	0.01	-0.28	0.17	-0.06
YCR004C	0.05	0.04	0.93	0.18	0.26	-0.14	0.21	0.25	0.23	-0.07	0.56	-0.07	-0.03	0.13	0.26	-0.08	0.18	-0.73
YCR005C	0.47	1.66	1.42	1.44	1.19	0.63	0.66	0.68	0.6	0.82	0.14	0.4	0.08	0.43	0.03	-0.03	0.22	0.11
YCR006C	0.19	-1.75	-0.12	-0.93	-0.42	-0.2	0.03	0.07	-0.1	-0.25	-0.43	-0.27	-0.01	0.03	-0.48	-0.36	-0.22	0
YCL067C	0.3	0.02	0.15	-0.29	0.11	-0.02	0.09	0.17	0.27	-0.49	-0.57	-0.25	-0.33	-0.25	-0.02	0.28	0.12	-0.4
YCR007C	0.61	0.82	0.36	-0.19	-0.03	-0.31	-0.13	-0.31	-0.04	0.56	-0.47	0.06	-0.21	-0.1	-0.95	-0.29	0.22	-0.23
YCR008W	0.21	-0.11	0.08	0.03	-0.06	0.22	0.33	0.5	0.19	0.09	-0.07	0.08	0.07	0.31	0.15	0.16	0.33	0.19
YCR009C	1.01	0.64	0.72	0.24	0.16	-0.19	-0.02	-0.19	-0.02	0.51	-0.08	0.11	-0.09	-0.11	-0.1	-0.01	0.31	0
YCR010C	0.41	-0.3	0.06	-0.32	-0.25	-0.53	0.06	0.13	-0.09	-0.1	-0.17	-0.18	0.2	-0.18	-0.31	-0.31	-0.24	-0.14
YJL168C	-0.3	0.16	-0.15	-0.01	-0.47	0.18	-0.16	0.07	0.03	0.56	0.1	0.28	0.11	0.4	-0.06	0.43	-0.07	0.32
YCL066W	0.22	-0.01	0	0.03	0.04	0.08	0.04	-0.05	0.12	0	-0.01	0.03	0.11	0.27	-0.41	-0.26	0.26	0.21
YCR011C	-0.5	-0.44	0.14	0.01	0.02	-0.03	0.11	0.06	0.01	0.34	0	0.24	-0.38	-0.32	-0.12	-0.07	0.03	-0.09
YCR012W	0.92	0.48	0.72	0.59	0.5	0.31	0.68	0.58	0.69	0.42	0.4	0.09	0.41	0.53	0.42	0.42	0.19	0.19
YCL065W	0.11	-0.03	0.5	-0.34	0.35	-0.85	-0.02	0.39	0.17	0.1	-0.01	0.01	-0.22	0.31	-0.14	0.13	0.35	-0.07
YCR013C	0.24	0.62	0.55	0.56	0.33	0.57	-0.09	0.29	0.45	0.51	0.6	0.13	0.06	0.25	0.34	0.62	0.39	0.36
YCR014C	-0.38	-0.47	-0.39	-0.44	-0.73	-0.04	-0.71	0.09	-0.69	-0.22	-0.15	0.04	-0.2	-0.22	-0.84	0.24	-0.33	0.26
YCR015C	0	0.04	-0.17	-0.37	-0.45	0.14	-0.64	0.08	-0.01	0.04	-0.45	-0.11	-0.21	-0.27	-0.43	0.71	0.06	0.17
YCR016W	-0.04	-0.94	-0.81	-0.01	-0.55	-0.44	-0.61	0.29	0.25	-0.19	0.25	0.15	-0.06	-0.18	-0.51	0.24	-0.02	0.28
YCR017C	-0.1	0.15	-0.05	0.16	-0.19	0.08	-0.73	0.1	0.19	0.27	0.44	0.08	-0.11	0	0.19	0.53	0.22	0.2
YCR018C	0.12	0.32	0.33	0.23	-0.27	0.21	-0.34	-0.12	0.08	-0.11	0.68	0.33	0.07	0.12	0.15	0.5	-0.11	0.3
YJL167W	0.07	-0.01	0.13	0.17	0.07	0.1	-0.14	0.01	0.06	-0.34	0.15	-0.09	0.03	0.04	0.09	0.18	-0.16	-0.27
YCR019W	-0.04	0.24	0	-0.38	0.3	-0.04	-0.55	0.08	-0.1	0.15	0	-0.1	-0.01	0.01	-0.81	0.34	-0.1	-0.02
YCL076W	0	0.79	0	0.08	0.33	0.24	0	0.48	0	0.08	0	0.24	0.1	-0.09	-0.2	0.19	0.12	0.15
YCR020C	-0.11	0.37	0.31	0.42	0.06	0.47	-0.1	0.47	0.23	-0.12	0.52	0.3	0.26	0.38	0.02	0.34	0.32	0.33
YCR020C-A	-0.62	0.13	0.14	-0.04	-0.4	0.31	-0.59	0.11	0.12	-0.1	-1.85	-0.23	-0.13	-0.15	-0.53	0.1	0.05	0
YCR021C	-0.05	0.12	-0.09	-0.41	-0.59	-0.01	-0.44	-0.1	-0.16	-0.4	-0.25	-0.15	-0.12	-0.13	-0.17	0.06	-0.17	-0.06
YCR022C	-0.3	-0.13	-0.17	0.08	-0.33	0.44	-0.6	0.04	-0.04	0.22	0	0.07	-0.05	0.18	-1.06	0.07	0.12	0.33
YCL064C	-0.46	-1.59	-0.93	-0.49	0.33	0.26	0.81	0.42	0.85	0.5	0.45	0	0.23	0.34	0.42	0.34	0.5	0.45
YCR023C	-0.36	-0.16	-0.31	-0.22	-0.11	0.03	-0.27	-0.06	-0.02	-0.46	-0.27	0.07	0.1	0.11	0.29	0.47	-0.2	0.07
YJL166W	0.24	0.74	0.33	0.51	-0.16	0.29	-0.09	0.13	0.15	0.39	0.11	-0.04	0.1	0.08	-0.17	-0.19	0	-0.16
YCR024C	0.29	0.36	0.04	-0.12	-0.1	0.17	-0.03	0.03	-0.04	0.6	-0.54	-0.04	-0.25	-0.34	-0.13	-0.16	-0.03	0.1
YCR024C-A	-0.32	-0.74	-0.49	-0.75	-0.58	-0.78	0.3	0.26	0.87	0.44	0.46	-0.42	-0.33	-0.57	0	-0.01	0.71	0.23
YCR025C	-0.08	-0.22	0.08	0.18	-0.06	-0.01	-0.21	-0.4	-0.23	0.26	-0.4	0.1	-0.12	-0.2	-0.05	-0.13	-0.16	-0.12
YCR026C	0.25	-0.22	0.12	0.33	0.38	0.26	0.3	1.68	0.04	-0.08	-0.04	0.17	0.23	0.23	0.3	0.23	0.16	0.36
YCR027C	0.38	0.01	-0.05	-0.19	-0.03	-0.15	-0.13	-0.08	-0.12	0.39	-0.15	-0.14	-0.13	-0.12	-0.23	-0.36	0.1	0.45
YCR028C	0.11	-0.33	0.12	-0.19	0.15	-0.15	0.25	0.31	-0.03	-0.18	-0.11	-0.01	0.07	0.04	0.04	-0.1	0	-0.06
YCR030C	-0.09	0.44	0.36	-0.12	-0.19	-0.39	-0.06	-0.2	-0.18	0.31	0.11	0.36	-0.12	-0.23	-0.21	-0.05	-0.16	0.1
